x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.6326530612244898,-0.42857142857142855,0.09045773728057177,0.0953854261404684,0.0,5.45
-0.6326530612244898,-0.3877551020408163,0.031955110962738176,0.032146469583251666,0.0,0.6
-0.6326530612244898,-0.3469387755102041,-0.020530855310933103,-0.02476859131824337,0.0,20.64
-0.6326530612244898,-0.30612244897959184,-0.06826410732038546,-0.0753597565640167,0.01,10.39
-0.6326530612244898,-0.2653061224489796,-0.11265514053520673,-0.11962702615406817,0.01,6.19
-0.6326530612244898,-0.22448979591836735,-0.14874817453130934,-0.15757040008839884,0.01,5.93
-0.6326530612244898,-0.1836734693877551,-0.17905510659623636,-0.18918987836700682,0.01,5.66
-0.6326530612244898,-0.14285714285714285,-0.20763045308314304,-0.2144854609898937,0.01,3.3
-0.6326530612244898,-0.10204081632653061,-0.22056766596753982,-0.23345714795705874,0.01,5.84
-0.6326530612244898,-0.061224489795918366,-0.23564597364989637,-0.2461049392685021,0.01,4.44
-0.6326530612244898,-0.02040816326530612,-0.23796695586904054,-0.25242883492422374,0.01,6.08
-0.6326530612244898,0.02040816326530612,-0.24297110304144426,-0.25242883492422374,0.01,3.89
-0.6326530612244898,0.061224489795918366,-0.23143102966078608,-0.2461049392685021,0.01,6.34
-0.6326530612244898,0.10204081632653061,-0.2205441130333427,-0.23345714795705874,0.01,5.86
-0.6326530612244898,0.14285714285714285,-0.20119988197323374,-0.2144854609898937,0.01,6.6
-0.6326530612244898,0.1836734693877551,-0.1796993264199855,-0.18918987836700682,0.01,5.28
-0.6326530612244898,0.22448979591836735,-0.1464239571413565,-0.15757040008839884,0.01,7.61
-0.6326530612244898,0.2653061224489796,-0.11639729904596222,-0.11962702615406817,0.0,2.77
-0.6326530612244898,0.30612244897959184,-0.07234493174330656,-0.0753597565640167,0.0,4.17
-0.6326530612244898,0.3469387755102041,-0.023940544476212324,-0.02476859131824337,0.0,3.46
-0.6326530612244898,0.3877551020408163,0.027550673642544283,0.032146469583251666,0.0,16.68
