x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.6326530612244898,-0.7142857142857143,1.0513865882798659e9,1.6472512225151277e9,5.9586463424e8,56.67
-0.6326530612244898,-0.673469387755102,1.5529275523957965e9,2.6486222204810214e9,1.09569466809e9,70.56
-0.6326530612244898,-0.6326530612244898,2.1069139831322148e9,3.5612476692286606e9,1.4543336861e9,69.03
-0.6326530612244898,-0.5918367346938775,2.5652659326832867e9,4.389693411310459e9,1.82442747863e9,71.12
-0.6326530612244898,-0.5510204081632653,3.0425083394284945e9,5.138437321050409e9,2.09592898162e9,68.89
-0.6326530612244898,-0.5102040816326531,3.414111347721576e9,5.811853934894531e9,2.39774258717e9,70.23
-0.6326530612244898,-0.46938775510204084,3.8264523114842863e9,6.414196495797958e9,2.58774418431e9,67.63
-0.6326530612244898,-0.42857142857142855,4.1580840098527246e9,6.949576121722572e9,2.79149211187e9,67.13
-0.6326530612244898,-0.3877551020408163,4.475749150315268e9,7.421937857380856e9,2.94618870707e9,65.83
-0.6326530612244898,-0.3469387755102041,4.753777689947607e9,7.835033465000697e9,3.08125577505e9,64.82
-0.6326530612244898,-0.30612244897959184,5.06869124069473e9,8.192390968387709e9,3.12369972769e9,61.63
-0.6326530612244898,-0.2653061224489796,5.323872790571837e9,8.497281196519144e9,3.17340840595e9,59.61
-0.6326530612244898,-0.22448979591836735,5.464213242613051e9,8.752681882072874e9,3.28846863946e9,60.18
-0.6326530612244898,-0.1836734693877551,5.654274494511754e9,8.96124024589244e9,3.30696575138e9,58.49
-0.6326530612244898,-0.14285714285714285,5.777463686107748e9,9.12523540837935e9,3.34777172227e9,57.95
-0.6326530612244898,-0.10204081632653061,5.878097778363953e9,9.24654235622104e9,3.36844457786e9,57.31
-0.6326530612244898,-0.061224489795918366,5.889146971408487e9,9.326599479235983e9,3.43745250783e9,58.37
-0.6326530612244898,-0.02040816326530612,5.955567813394784e9,9.366381791290249e9,3.4108139779e9,57.27
-0.6326530612244898,0.02040816326530612,5.942281857652501e9,9.366381791290249e9,3.42409993364e9,57.62
-0.6326530612244898,0.061224489795918366,5.964695520202294e9,9.326599479235983e9,3.36190395903e9,56.36
-0.6326530612244898,0.10204081632653061,5.80008050995872e9,9.24654235622104e9,3.44646184626e9,59.42
-0.6326530612244898,0.14285714285714285,5.74562204317095e9,9.12523540837935e9,3.37961336521e9,58.82
-0.6326530612244898,0.1836734693877551,5.624381284750338e9,8.96124024589244e9,3.33685896114e9,59.33
-0.6326530612244898,0.22448979591836735,5.496983479577759e9,8.752681882072874e9,3.2556984025e9,59.23
-0.6326530612244898,0.2653061224489796,5.284907839747385e9,8.497281196519144e9,3.21237335677e9,60.78
-0.6326530612244898,0.30612244897959184,5.040202203393096e9,8.192390968387709e9,3.15218876499e9,62.54
-0.6326530612244898,0.3469387755102041,4.796600480865481e9,7.835033465000697e9,3.03843298414e9,63.35
-0.6326530612244898,0.3877551020408163,4.483434048725111e9,7.421937857380856e9,2.93850380866e9,65.54
-0.6326530612244898,0.42857142857142855,4.180556234719078e9,6.949576121722572e9,2.769019887e9,66.24
-0.6326530612244898,0.46938775510204084,3.792722869551821e9,6.414196495797958e9,2.62147362625e9,69.12
-0.6326530612244898,0.5102040816326531,3.394070687234767e9,5.811853934894531e9,2.41778324766e9,71.24
-0.6326530612244898,0.5510204081632653,3.0313820564504633e9,5.138437321050409e9,2.1070552646e9,69.51
-0.6326530612244898,0.5918367346938775,2.5397837322083673e9,4.389693411310459e9,1.8499096791e9,72.84
-0.6326530612244898,0.6326530612244898,2.1058990489242291e9,3.5612476692286606e9,1.4553486203e9,69.11
-0.6326530612244898,0.673469387755102,1.5438455265507035e9,2.6486222204810214e9,1.10477669393e9,71.56
-0.6326530612244898,0.7142857142857143,1.0666330724492556e9,1.6472512225151277e9,5.8061815007e8,54.43
-0.6326530612244898,0.7551020408163265,5.706642054300395e8,5.524939533961799e8,1.817025203e7,3.18
-0.5918367346938775,-0.7959183673469388,4.5761227847688913e8,3.04509234512676e8,1.5310304396e8,33.46
-0.5918367346938775,-0.7551020408163265,9.560467191687311e8,1.4672247691070237e9,5.1117804994e8,53.47
-0.5918367346938775,-0.7142857142857143,1.4987686478440654e9,2.532489613893381e9,1.03372096605e9,68.97
-0.5918367346938775,-0.673469387755102,2.0311518824363391e9,3.505074383223002e9,1.47392250079e9,72.57
-0.5918367346938775,-0.6326530612244898,2.526481018653166e9,4.389693411292152e9,1.86321239264e9,73.75
-0.5918367346938775,-0.5918367346938775,3.0102941877673697e9,5.190994306785572e9,2.18070011902e9,72.44
-0.5918367346938775,-0.5510204081632653,3.500541176521403e9,5.913545468334887e9,2.41300429181e9,68.93
